Technique,Example
Initial Access: T1190 Exploit Public-Facing Application,"Rocke exploited Apache Struts, Oracle WebLogic (CVE-2017-10271), and Adobe ColdFusion (CVE-2017-3066) vulnerabilities to deliver malware."
Initial Access: T1190 Exploit Public-Facing Application,Siloscape is executed after the attacker gains initial access to a Windows container using a known vulnerability.
Initial Access: T1190 Exploit Public-Facing Application,SoreFang can gain access by exploiting a Sangfor SSL VPN vulnerability that allows for the placement and delivery of malicious update binaries.
Initial Access: T1190 Exploit Public-Facing Application,sqlmap can be used to automate exploitation of SQL injection vulnerabilities.
Initial Access: T1190 Exploit Public-Facing Application,"Threat Group-3390 has exploited the Microsoft SharePoint vulnerability CVE-2019-0604 and CVE-2021-26855, CVE-2021-26857, CVE-2021-26858, and CVE-2021-27065 in Exchange Server."
Initial Access: T1190 Exploit Public-Facing Application,"Volatile Cedar has targeted publicly facing web servers, with both automatic and manual vulnerability discovery."
Initial Access: T1190 Exploit Public-Facing Application,"ZxShell has been dropped through exploitation of CVE-2011-2462, CVE-2013-3163, and CVE-2014-0322."
Initial Access: T1133 External Remote Services,APT18 actors leverage legitimate credentials to log into external remote services.
Initial Access: T1133 External Remote Services,APT28 has used Tor and a variety of commercial VPN services to route brute force authentication attempts.
Initial Access: T1133 External Remote Services,"APT29 has used compromised identities to access networks via SSH, VPNs, and other remote access tools."
Initial Access: T1133 External Remote Services,APT41 compromised an online billing/payment service using VPN access between a third-party service provider and the targeted payment service.
Initial Access: T1133 External Remote Services,"Chimera has used legitimate credentials to login to an external VPN, Citrix, SSH, and other remote services."
Initial Access: T1133 External Remote Services,Doki was executed through an open Docker daemon API port.
Initial Access: T1133 External Remote Services,Dragonfly has used VPNs and Outlook Web Access (OWA) to maintain access to victim networks.
Initial Access: T1133 External Remote Services,"FIN5 has used legitimate VPN, Citrix, or VNC credentials to maintain access to a victim environment."
Initial Access: T1133 External Remote Services,"GALLIUM has used VPN services, including SoftEther VPN, to access and maintain persistence in victim environments."
Initial Access: T1133 External Remote Services,GOLD SOUTHFIELD has used publicly-accessible RDP and remote management and monitoring (RMM) servers to gain access to victim machines.
Initial Access: T1133 External Remote Services,Hildegard was executed through an unsecure kubelet that allowed anonymous access to the victim environment.
Initial Access: T1133 External Remote Services,Ke3chang has gained access through VPNs including with compromised accounts and stolen VPN certificates.
Initial Access: T1133 External Remote Services,Kimsuky has used RDP to establish persistence.
Initial Access: T1133 External Remote Services,Kinsing was executed in an Ubuntu container deployed via an open Docker daemon API.
Initial Access: T1133 External Remote Services,Leviathan has used external remote services such as virtual private networks (VPN) to gain initial access.
Initial Access: T1133 External Remote Services,Linux Rabbit attempts to gain access to the server via SSH.
Initial Access: T1133 External Remote Services,Night Dragon has used compromised VPN accounts to gain access to victim systems.
Initial Access: T1133 External Remote Services,"OilRig uses remote services such as VPN, Citrix, or OWA to persist in an environment."
Initial Access: T1133 External Remote Services,Operation Wocao has used stolen credentials to connect to the victim's network via VPN.
Initial Access: T1133 External Remote Services,Sandworm Team has used Dropbear SSH with a hardcoded backdoor password to maintain persistence within the target network. Sandworm Team has also used VPN tunnels established in legitimate software company infrastructure to gain access to internal networks of that software company's users.
Initial Access: T1133 External Remote Services,TeamTNT has used open-source tools such as Weave Scope to target exposed Docker API ports and gain initial access to victim environments. TeamTNT has also targeted exposed kubelets for Kubernetes environments.
Initial Access: T1133 External Remote Services,TEMP.Veles has used a VPN to persist in the victim environment.
Initial Access: T1133 External Remote Services,Threat Group-3390 actors look for and use VPN profiles during an operation to access the network using external VPN services. Threat Group-3390 has also obtained OWA account credentials during intrusions that it subsequently used to attempt to regain access when evicted from a victim network.
Initial Access: T1133 External Remote Services,Wizard Spider has accessed victim networks by using stolen credentials to access the corporate VPN infrastructure.
Initial Access: T1566 Phishing,Axiom has used spear phishing to initially compromise victims.
Initial Access: T1566 Phishing,GOLD SOUTHFIELD has conducted malicious spam (malspam) campaigns to gain access to victim's machines.
Initial Access: T1566 Phishing,Hikit has been spread through spear phishing.
Initial Access: T1091 Replication Through Removable Media,"Agent.btz drops itself onto removable media devices and creates an autorun.inf file with an instruction to run that file. When the device is inserted into another system, it opens autorun.inf and loads the malware."
Initial Access: T1091 Replication Through Removable Media,APT28 uses a tool to infect connected USB devices and transmit itself to air-gapped computers when the infected USB device is inserted.
Initial Access: T1091 Replication Through Removable Media,Part of APT28's operation involved using CHOPSTICK modules to copy itself to air-gapped machines and using files written to USB sticks to transfer data and command traffic.
Initial Access: T1091 Replication Through Removable Media,Conficker variants used the Windows AUTORUN feature to spread through USB propagation.
Initial Access: T1091 Replication Through Removable Media,Crimson can spread across systems by infecting removable media.
Initial Access: T1091 Replication Through Removable Media,Darkhotel's selective infector modifies executables stored on removable media as a method of spreading across computers.
Initial Access: T1091 Replication Through Removable Media,DustySky searches for removable media and duplicates itself onto it.
Initial Access: T1091 Replication Through Removable Media,"FIN7 actors have mailed USB drives to potential victims containing malware that downloads and installs various backdoors, including in some cases for ransomware operations."
Initial Access: T1091 Replication Through Removable Media,Flame contains modules to infect USB sticks and spread laterally to other Windows systems the stick is plugged into using Autorun functionality.
Initial Access: T1091 Replication Through Removable Media,H1N1 has functionality to copy itself to removable media.
Initial Access: T1091 Replication Through Removable Media,Mustang Panda has used a customized PlugX variant which could spread through USB connections.
Initial Access: T1091 Replication Through Removable Media,njRAT can be configured to spread via removable drives.
Initial Access: T1091 Replication Through Removable Media,QakBot has the ability to use removable drives to spread through compromised networks.
Initial Access: T1091 Replication Through Removable Media,Ramsay can spread itself by infecting other portable executable files on removable drives.
Initial Access: T1091 Replication Through Removable Media,APT30 may have used the SHIPSHAPE malware to move onto air-gapped networks. SHIPSHAPE targets removable drives to spread to other systems by modifying the drive to use Autorun to execute or by hiding legitimate document files and copying an executable to the folder with the same name as the legitimate document.
Initial Access: T1091 Replication Through Removable Media,Stuxnet can propagate via removable media using an autorun.inf file or the CVE-2010-2568 LNK vulnerability.
Initial Access: T1091 Replication Through Removable Media,Tropic Trooper has attempted to transfer USBferry from an infected USB device by copying an Autorun function to the target machine.
Initial Access: T1091 Replication Through Removable Media,Unknown Logger is capable of spreading to USB devices.
Initial Access: T1091 Replication Through Removable Media,Ursnif has copied itself to and infected removable drives for propagation.
Initial Access: T1091 Replication Through Removable Media,USBferry can copy its installer to attached USB storage devices.
Initial Access: T1091 Replication Through Removable Media,USBStealer drops itself onto removable media and relies on Autorun to execute the malicious file when a user opens the removable media on another system.
Initial Access: T1199 Trusted Relationship,"Once APT28 gained access to the DCCC network, the group then proceeded to use that access to compromise the DNC network."
Initial Access: T1199 Trusted Relationship,"APT29 has gained access through compromised accounts at cloud solution partners, and used compromised certificates issued by Mimecast to authenticate to Mimecast customer systems."
Initial Access: T1199 Trusted Relationship,GOLD SOUTHFIELD has breached Managed Service Providers (MSP's) to deliver malware to MSP customers.
Initial Access: T1199 Trusted Relationship,menuPass has used legitimate access granted to Managed Service Providers in order to access victims of interest.
Initial Access: T1199 Trusted Relationship,Sandworm Team has used dedicated network connections from one victim organization to gain unauthorized access to a separate organization.
Initial Access: T1199 Trusted Relationship,Threat Group-3390 has compromised third party service providers to gain access to victim's environments.
Initial Access: T1078 Valid Accounts,"APT28 has used legitimate credentials to gain initial access, maintain access, and exfiltrate data from a victim network. The group has specifically used credentials stolen through a spearphishing email to login to the DCCC network. The group has also leveraged default manufacturer's passwords to gain initial access to corporate networks via IoT devices such as a VOIP phone, printer, and video decoder."
Initial Access: T1078 Valid Accounts,APT29 used different compromised credentials for remote access and to move laterally.
Initial Access: T1078 Valid Accounts,APT33 has used valid accounts for initial access and privilege escalation.
Initial Access: T1078 Valid Accounts,APT39 has used stolen credentials to compromise Outlook Web Access (OWA).
Initial Access: T1078 Valid Accounts,APT41 used compromised credentials to log on to other systems.
Initial Access: T1078 Valid Accounts,Axiom has used previously compromised administrative accounts to escalate privileges.
Initial Access: T1078 Valid Accounts,Carbanak actors used legitimate credentials of banking employees to perform operations that sent them millions of dollars.
Initial Access: T1078 Valid Accounts,Chimera has used a valid account to maintain persistence via scheduled task.
Initial Access: T1078 Valid Accounts,Dragonfly has compromised user credentials and used valid accounts for operations.
Initial Access: T1078 Valid Accounts,Dtrack used hard-coded credentials to gain access to a network share.
Initial Access: T1078 Valid Accounts,Adversaries can instruct Duqu to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials (via keylogging or other means). The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware.
Initial Access: T1078 Valid Accounts,FIN10 has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor.
Initial Access: T1078 Valid Accounts,FIN4 has used legitimate credentials to hijack email communications.
Initial Access: T1078 Valid Accounts,"FIN5 has used legitimate VPN, RDP, Citrix, or VNC credentials to maintain access to a victim environment."
Initial Access: T1078 Valid Accounts,"To move laterally on a victim network, FIN6 has used credentials stolen from various systems on which it gathered usernames and password hashes."
Initial Access: T1078 Valid Accounts,FIN7 has harvested valid administrative credentials for lateral movement.
Initial Access: T1078 Valid Accounts,FIN8 has used valid accounts for persistence and lateral movement.
Initial Access: T1078 Valid Accounts,Fox Kitten has used valid credentials with various services during lateral movement.
Initial Access: T1078 Valid Accounts,GALLIUM leveraged valid accounts to maintain access to a victim network.
Initial Access: T1078 Valid Accounts,Industroyer can use supplied user credentials to execute processes and stop services.
Initial Access: T1078 Valid Accounts,"Ke3chang has used credential dumpers or stealers to obtain legitimate credentials, which they used to gain access to victim accounts."
Initial Access: T1078 Valid Accounts,Kinsing has used valid SSH credentials to access remote hosts.
Initial Access: T1078 Valid Accounts,Lazarus Group has used administrator credentials to gain access to restricted network segments.
Initial Access: T1078 Valid Accounts,Leviathan has obtained valid accounts to gain initial access.
Initial Access: T1078 Valid Accounts,Linux Rabbit acquires valid SSH accounts through brute force.
Initial Access: T1078 Valid Accounts,menuPass has used valid accounts including shared between Managed Service Providers and clients to move between the two environments.
Initial Access: T1078 Valid Accounts,OilRig has used compromised credentials to access other systems on a victim network.
Initial Access: T1078 Valid Accounts,Operation Wocao has used valid VPN credentials to gain initial access.
Initial Access: T1078 Valid Accounts,PittyTiger attempts to obtain legitimate credentials during operations.
Initial Access: T1078 Valid Accounts,Sandworm Team have used previously acquired legitimate credentials prior to attacks.
Initial Access: T1078 Valid Accounts,Some SeaDuke samples have a module to extract email from Microsoft Exchange servers using compromised credentials.
Initial Access: T1078 Valid Accounts,Silence has used compromised credentials to log on to other systems and escalate privileges.
Initial Access: T1078 Valid Accounts,Silent Librarian has used compromised credentials to obtain unauthorized access to online accounts.
Initial Access: T1078 Valid Accounts,Suckfly used legitimate account credentials that they dumped to navigate the internal victim network as though they were the legitimate account owner.
Initial Access: T1078 Valid Accounts,TEMP.Veles has used compromised VPN accounts.
Initial Access: T1078 Valid Accounts,Threat Group-3390 actors obtain legitimate credentials using a variety of methods and use them to further lateral movement on victim networks.
Initial Access: T1078 Valid Accounts,Wizard Spider has used valid credentials for privileged accounts with the goal of accessing domain controllers.
Initial Access: T1189 Drive-by Compromise,APT19 performed a watering hole attack on forbes.com in 2014 to compromise targets.
Initial Access: T1189 Drive-by Compromise,APT32 has infected victims by tricking them into visiting compromised watering hole websites.
Initial Access: T1189 Drive-by Compromise,"APT37 has used strategic web compromises, particularly of South Korean websites, to distribute malware. The group has also used torrent file-sharing sites to more indiscriminately disseminate malware to victims. As part of their compromises, the group has used a Javascript based profiler called RICECURRY to profile a victim's web browser and deliver malicious code accordingly."
Initial Access: T1189 Drive-by Compromise,APT38 has conducted watering holes schemes to gain initial access to victims.
Initial Access: T1189 Drive-by Compromise,BRONZE BUTLER compromised three Japanese websites using a Flash exploit to perform watering hole attacks.
Initial Access: T1189 Drive-by Compromise,Bundlore has been spread through malicious advertisements on websites.
Initial Access: T1189 Drive-by Compromise,Dark Caracal leveraged a watering hole to serve up malicious code.
Initial Access: T1189 Drive-by Compromise,Darkhotel used embedded iframes on hotel login portals to redirect selected victims to download malware.
Initial Access: T1189 Drive-by Compromise,Dragonfly 2.0 compromised legitimate organizations' websites to create watering holes to compromise victims.
Initial Access: T1189 Drive-by Compromise,Dragonfly has has compromised targets via strategic web compromise (SWC) utilizing a custom exploit kit.
Initial Access: T1189 Drive-by Compromise,Elderwood has delivered zero-day exploits and malware to victims by injecting malicious code into specific public Web pages visited by targets within a particular sector.
Initial Access: T1189 Drive-by Compromise,"In addition, OceanLotus is also known to use ‘watering hole attacks’, which involve the compromise of a website that the victim is likely to visit. In this scenario, the ‘prey’ is tricked into downloading and executing a fake installer or fake update for popular software from the booby-trapped website. Whatever the method of compromise, ultimately the same backdoor is deployed."
Initial Access: T1189 Drive-by Compromise,"KARAE was distributed through torrent file-sharing websites to South Korean victims, using a YouTube video downloader application as a lure."
Initial Access: T1189 Drive-by Compromise,Lazarus Group delivered RATANKBA to victims via a compromised legitimate website.
Initial Access: T1189 Drive-by Compromise,Leafminer has infected victims using watering holes.
Initial Access: T1189 Drive-by Compromise,LoudMiner is typically bundled with pirated copies of Virtual Studio Technology (VST) for Windows and macOS.
Initial Access: T1189 Drive-by Compromise,Patchwork has used watering holes to deliver files with exploits to initial victims.
Initial Access: T1189 Drive-by Compromise,PLATINUM has sometimes used drive-by attacks against vulnerable browser plugins.
Initial Access: T1189 Drive-by Compromise,POORAIM has been delivered through compromised sites acting as watering holes.
Initial Access: T1189 Drive-by Compromise,"Prior to the discovery of Operation Daybreak, we observed the ScarCruft APT launching a series of attacks in Operation Erebus. Operation Erebus leverages another Flash Player exploit (CVE-2016-4117) through the use of watering hole attacks."
Initial Access: T1189 Drive-by Compromise,PROMETHIUM has used watering hole attacks to deliver malicious versions of legitimate installers.
Initial Access: T1189 Drive-by Compromise,REvil has infected victim machines through compromised websites and exploit kits.
Initial Access: T1189 Drive-by Compromise,"RTM has distributed its malware via the RIG and SUNDOWN exploit kits, as well as online advertising network Yandex.Direct."
Initial Access: T1189 Drive-by Compromise,Threat Group-3390 has extensively used strategic web compromises to target victims.
Initial Access: T1189 Drive-by Compromise,Turla has infected victims using watering holes.
Initial Access: T1189 Drive-by Compromise,"Unit 42 discovered new activity that appears related to an adversary group previously called “C0d0so0” or “Codoso”. This group is well known for a widely publicized attack involving the compromise of Forbes.com, in which the site was used to compromise selected targets via a watering hole to a zero-day Adobe Flash exploit."
Initial Access: T1189 Drive-by Compromise,Windshift has used compromised websites to register custom URL schemes on a remote system.
Initial Access: T1189 Drive-by Compromise,Dragonfly 2.0 compromised legitimate organizations' websites to create watering holes to compromise victims.
Initial Access: T1189 Drive-by Compromise,Dragonfly has has compromised targets via strategic web compromise (SWC) utilizing a custom exploit kit.
Initial Access: T1189 Drive-by Compromise,Lazarus Group delivered RATANKBA to victims via a compromised legitimate website.
Initial Access: T1189 Drive-by Compromise,"At least two different Japanese websites were compromised to host the exploit framework and malicious downloads. The main landing page for the attacks is a specific URL seeded on the first website where users are redirected to the HackingTeam Adobe Flash framework hosted on the second compromised Japanese website. We observed in the past week this same basic framework across several different SWCs exploiting the ""older"" CVE-2015-5119 Adobe Flash vulnerability in Figure 1."
Initial Access: T1189 Drive-by Compromise,"Currently, the group is engaged in two major operations: Operation Daybreak and Operation Erebus. The first of them, Operation Daybreak, appears to have been launched by ScarCruft in March 2016 and employs a previously unknown (0-day) Adobe Flash Player exploit, focusing on high profile victims. The other one, ""Operation Erebus"" employs an older exploit, for CVE-2016-4117 and leverages watering holes. It is also possible that the group deployed another zero day exploit, CVE-2016-0147, which was patched in April."
Initial Access: T1189 Drive-by Compromise,"In June, we reported on a cyber-espionage campaign launched by a group named ScarCruft and code-named Operation Daybreak, which was using a previously unknown Adobe Flash Player exploit (CVE-2016-1010). Then in September we discovered a Windows zero-day, CVE-2016-3393, being used by a threat actor known as FruityArmor to mount targeted attacks."
Initial Access: T1189 Drive-by Compromise,"The ScarCruft APT group is a relatively new player and managed to stay under the radar for some time. In general, their work is very professional and focused. Their tools and techniques are well above the average. Prior to the discovery of Operation Daybreak, we observed the ScarCruft APT launching a series of attacks in Operation Erebus. Operation Erebus leverages another Flash Player exploit (CVE-2016-4117) through the use of watering hole attacks."
Initial Access: T1189 Drive-by Compromise,"Strategic web compromises can have a significant amount of collateral targeting. It is common for threat actors to pair a strategic web compromise with profiling malware to target systems with specific application versions or victims. FireEye observed that BACKSWING, a malicious JavaScript profiling framework, was deployed to at least 54 legitimate sites starting as early as September 2016. A handful of these sites were later used to redirect to BADRABBIT distribution URLs."
Initial Access: T1189 Drive-by Compromise,"Of course, there will always be APT groups that seek to take advantage of zero-day exploits. In June, we reported on a cyber-espionage campaign code-named 'Operation Daybreak' and launched by a group named ScarCruft that uses a previously unknown Adobe Flash Player exploit (CVE-2016-1010). This group is relatively new and has so far managed to stay under the radar. We think the group might have previously deployed another zero-day exploit (CVE-2016-0147) that was patched in April."
Initial Access: T1189 Drive-by Compromise,"Operation Daybreak appears to have been launched by ScarCruft in March 2016 and employs a previously unknown (0-day) Adobe Flash Player exploit. It is also possible that the group deployed another zero day exploit, CVE-2016-0147, which was patched in April."
Initial Access: T1189 Drive-by Compromise,"Compromise a website visited by users in specific communities, industries, or regions."
Initial Access: T1189 Drive-by Compromise,"The APT actor also hosted malicious domains, including possible aviation sector target columbusairports.microsoftonline[.]host, which resolved to 108.177.235[.]92 and [cityname].westus2.cloudapp.azure.com; these domains are U.S. registered and are likely SLTT government targets."
Initial Access: T1189 Drive-by Compromise,"Use Firewalls and proxies to inspect URLs for potentially known-bad domains or parameters. Monitor network intrusion detection systems (IDS) to detect malicious scripts, and monitor endpoints for abnormal behavior., Mitigation Isolate and sandbox impacted systems and applications to restrict the spread of malware. Leverage security applications to identify malicious behavior during exploitation. Restrict web-based content through ad-blockers and script blocking extensions."
Initial Access: T1189 Drive-by Compromise,Use firewalls and proxies to check URLs for potentially malicious domains or parameters. Monitor Network Intrusion Detection Systems (IDS) to detect malicious scripts and monitor endpoints for abnormal behavior. Mitigation Isolate and sandbox affected systems and applications to limit the spread of malware. Use security applications to identify malicious behavior during exploitation. Restrict web-based content with ad blockers and script-blocking extensions.
Initial Access: T1189 Drive-by Compromise,"The actor APT also hosted malicious domains, including the possible aviation sector target columbusairports.microsoftonline[.]host, which resolved to 108.177.235[.]92 and [cityname].westus2.cloudapp.azure.com; these domains are registered in the United States and are likely targets of the SLTT government."
Initial Access: T1189 Drive-by Compromise,"APT37 has used strategic web compromises, particularly of South Korean websites, to spread malware. The group has also used torrent exchanges to distribute malware more indiscriminately to victims. As part of its compromises, the group has used a Javascript-based profiler called RICECURRY to profile a victim's web browser and distribute malicious code accordingly."
Initial Access: T1189 Drive-by Compromise,BRONZE BUTLER compromised three Japanese websites by exploiting a Flash vulnerability to perform watering hole attacks.
Initial Access: T1189 Drive-by Compromise,Dragonfly 2.0 compromised the websites of legitimate organizations to create watering holes and compromise victims.
Initial Access: T1189 Drive-by Compromise,Dragonfly compromised targets through strategic web compromise (SWC) using a custom exploit kit.
Initial Access: T1189 Drive-by Compromise,Elderwood distributed zero-day exploits and malware to victims by injecting malicious code into certain public websites visited by targeted individuals in a specific sector.
Initial Access: T1189 Drive-by Compromise,"In addition, OceanLotus is known to perform ""watering hole attacks"" that compromise a website that the victim is likely to visit. In this scenario, the ""prey"" is tricked into downloading and running a fake installer or update for popular software from the booby-trapped website. Regardless of the method of compromise, the same backdoor is ultimately used."
Initial Access: T1189 Drive-by Compromise,"KARAE was distributed via torrent file-sharing networks to South Korean, using a YouTube video downloader application as bait."
Initial Access: T1189 Drive-by Compromise,LoudMiner is usually bundled with pirated versions of Virtual Studio Technology (VST) for Windows and macOS.
Initial Access: T1189 Drive-by Compromise,"Prior to the discovery of Operation Daybreak, we observed that ScarCruft APT launched a series of attacks on Operation Erebus. Operation Erebus exploits another vulnerability of Flash Player (CVE-2016-4117) by using watering hole attacks."
Initial Access: T1189 Drive-by Compromise,RTM spread its malware via the exploit kits RIG and SUNDOWN and via the online advertising network Yandex.Direct.
Initial Access: T1189 Drive-by Compromise,"Unit 42 discovered new activity that appears to be associated with an adversarial group formerly called ""C0d0so0"" or ""Codoso"". This group is known for a widely publicized attack that compromised Forbes.com. This involved using the website to compromise selected targets via a watering hole with a zero-day exploit Adobe Flash."
Initial Access: T1189 Drive-by Compromise,"Currently, the group operates in two major business segments: Operation Daybreak and Operation Erebus. The first, Operation Daybreak, appears to have been launched by ScarCruft in March 2016 and uses a previously unknown (0-day) Adobe Flash Player exploit that targets high-profile victims. The other, ""Operation Erebus"", uses an older exploit for CVE-2016-4117 and employs watering holes. It is also possible that the group used another zero-day exploit, CVE-2016-0147, which was patched in April."
Initial Access: T1189 Drive-by Compromise,"In June, we reported on a cyber espionage campaign launched by a group called ScarCruft, codenamed Operation Daybreak, that exploited a previously unknown vulnerability Adobe Flash Player (CVE-2016-1010). Then, in September, we discovered a Windows Zero Day vulnerability ( CVE-2016-3393) that was used by a threat actor known as FruityArmor to launch targeted attacks."
Initial Access: T1189 Drive-by Compromise,"The group ScarCruft APT is a relatively new player and has managed to stay under the radar for some time. In general, their work is very professional and focused. Their tools and techniques are far above average. Prior to the discovery of Operation Daybreak, we observed that ScarCruft APT had launched a series of attacks on Operation Erebus. Operation Erebus exploits another vulnerability of Flash Player (CVE-2016-4117) by using watering hole attacks."
Initial Access: T1189 Drive-by Compromise,"Strategic web compromises can have a significant degree of collateral goals. It is common for threat actors to combine a strategic web compromise with profiling malware to attack systems with specific application versions or victims. FireEye observed that BACKSWING, a malicious JavaScript profiling framework, was deployed on at least 54 legitimate websites as early as September 2016. A handful of these websites were later used to redirect to BADRABBIT distribution URLs."
Initial Access: T1189 Drive-by Compromise,"Of course, there will always be APT groups trying to exploit zero-day exploits. In June, we reported on a cyber espionage campaign codenamed ""Operation Daybreak"" launched by a group called ScarCruft that exploits a previously unknown vulnerability Adobe Flash Player (CVE-2016-1010). This group is relatively new and has managed to stay under the radar so far. We suspect that the group previously used another zero-day vulnerability (CVE-2016-0147) that was patched in April."
Initial Access: T1189 Drive-by Compromise,"Operation Daybreak appears to have been launched by ScarCruft in March 2016 and exploits a previously unknown (0-day) Adobe Flash Player vulnerability. It is also possible that the group used another zero-day exploit, CVE-2016-0147, which was patched in April."
Initial Access: T1189 Drive-by Compromise,"The exploits include CVE-2015-8651, a vulnerability Adobe closed last December, and CVE-2016-4117, a zero-day vulnerability the company closed in May. Attackers embedded CVE-2016-4117 in Neutrino a week after the company's patch, and the Scarcruft APT gang, a group spotted in Russia, Nepal and South Korea, also exploited the vulnerability. According to researchers at Kaspersky Lab, who identified the group in June, Scarcruft combined the vulnerability with watering hole attacks as part of Operation Erebus, a series of attacks carried out in the spring."
Initial Access: T1189 Drive-by Compromise,"GoBotKR was distributed via torrent file-sharing websites to South Korean, using games or Korean movieor TV series as bait."
Initial Access: T1189 Drive-by Compromise,"xxxthreatactorgroup is also known to use 'watering hole attacks' that involve the compromise of a website that the victim is likely to visit, essentially tricking the ‘prey’ into downloading and executing a fake installer or fake update of popular software from the booby-trapped website. Regardless of the method of compromise, ultimately the same backdoor is deployed."
Initial Access: T1189 Drive-by Compromise,Xxxmalware was distributed by torrent file sharing websites to victims on xxxgeolocation by a YouTube video downloader application as a lure.
Initial Access: T1189 Drive-by Compromise,"xxxmalware was distributed to victims in xxxgeolocation through torrent file-sharing websites, using a YouTube video downloading application as a lure."
Initial Access: T1189 Drive-by Compromise,Xxxthreatactorgroup has sometimes used drive-by attacks on vulnerable browser plugins.
Initial Access: T1189 Drive-by Compromise,A compromised legitimate website was used by xxxthreatactorgroup to deliver the malware.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup delivered the malware to victims through a compromised legitimate website.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup delivered the malware over a compromised legitimate website to victims.
Initial Access: T1189 Drive-by Compromise,"Xxxmalware was distributed to xxxgeolocation victims through torrent filesharing websites, using a YouTube video downloader application as a lure."
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup has been known to have compromised several xxxgeolocation sites using a Flash exploit to carry out watering hole attacks.
Initial Access: T1189 Drive-by Compromise,Xxxthreatactorgroup compromised targets using a custom exploit kit via strategic web compromise.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup has been known to have compromised several xxxgeolocation websites by using a Flash exploit to carry out watering hole attacks.
Initial Access: T1189 Drive-by Compromise,Xxxthreatactorgroup delivered the malware via a compromised legitimate website to victims.
Initial Access: T1189 Drive-by Compromise,Xxxthreatactorgroup has compromised targets via strategic web compromise with a custom exploit kit.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup has compromised targets using a custom exploit kit through strategic web compromise.
Initial Access: T1189 Drive-by Compromise,Xxxthreatactorgroup has used strategic web compromises to target victims extensively.
Initial Access: T1189 Drive-by Compromise,A compromised legitimate website was used by xxxthreatactorgroup to deliver the malware to victims.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup compromised three xxxgeolocation sites using a Flash exploit to conduct watering hole attacks.
Initial Access: T1189 Drive-by Compromise,Xxxmalware was distributed to victims in xxxgeolocation through torrent file-sharing websites using a YouTube video downloader application as a lure.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup has used strategic web compromises to target their victims.
Initial Access: T1189 Drive-by Compromise,"Xxxmalware was distributed to victims in xxxgeolocation via torrent file-sharing websites, using a YouTube video downloader application as a lure."
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup compromised three xxxgeolocation websites with a Flash exploit to launch watering hole attacks.
Initial Access: T1189 Drive-by Compromise,Xxxthreatactorgroup compromised targets with a custom exploit kit via strategic web compromise.
Initial Access: T1189 Drive-by Compromise,"Xxxmalware was distributed to victims in xxxgeolocation through torrent file-sharing websites, using a YouTube video downloader application as a lure."
Initial Access: T1189 Drive-by Compromise,Several xxxgeolocation websites have been compromised by xxxthreatactorgroup using a flash exploit to perform watering hole attacks.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup sent the malware to victims via a compromised legitimate website.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup is known to have compromised several xxxgeolocation websites using a Flash exploit to launch waterhole attacks.
Initial Access: T1189 Drive-by Compromise,A compromised legitimate website was used by the xxxthreatactorgroup to deliver the malware to victims.
Initial Access: T1189 Drive-by Compromise,Xxxthreatactorgroup has sometimes used drive-by attacks against vulnerable plugins in browsers.
Initial Access: T1189 Drive-by Compromise,Xxxthreatactorgroup has compromised targets with strategic web compromise using a custom exploit kit.
Initial Access: T1189 Drive-by Compromise,Xxxthreatactorgroup has compromised targets utilizing a custom exploit kit via strategic web compromise.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup has compromised targets through strategic web compromise using a custom exploit kit.
Initial Access: T1189 Drive-by Compromise,A compromised legitimate website was used by xxxthreatactorgroup to deliver the malicious software to victims.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup has widely used strategic web compromises to target victims.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup has used strategic web compromises extensively to target victims.
Initial Access: T1189 Drive-by Compromise,Strategic web compromises have been used by xxxthreatactorgroup to target victims.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup has delivered zero-day exploits and malware to victims by injecting malicious code into public web sites visited by targets within a particular sector.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup compromised the websites of legitimate organizations to create watering holes to compromise victims.
Initial Access: T1189 Drive-by Compromise,The xxxthreatactorgroup created watering holes on legitimate organizations' websites to compromise victims.
Initial Access: T1189 Drive-by Compromise,xxxthreatactorgroup has delivered zero-day exploits and malware victims by injecting malicious code into specific websites visited by targets within a specific sector.
Initial Access: T1189 Drive-by Compromise,Xxxthreatactorgroup has used embedded Iframes in hotel login portals to redirect targeted victims to download malware.
