Technique,Reports
Initial Access: T1195 Supply Chain Compromise," The cyber espionage threat to the telecommunications sector is high. FireEye iSIGHT Intelligence has observed more than 40 advanced threat actors that have conducted operations against telecommunications companies throughout Asia, Europe, North and South America, Africa, and Australia. Financially motivated cyber crime poses a high threat to telecommunications companies and their customers. Telecommunications companies are less frequently directly targeted by these actors, but often collaborate extensively with customers and law enforcement to mitigate criminal threats. Hacktivists constitute a moderate threat to the telecommunications sector. Motivations to target the sector include support of net neutrality, retaliation for perceived injustices, and promotion of nationalist themes. The sector must also consider its position as a key node in the overall critical infrastructure of most countries. Distributed denial-of-service (DDoS) attacks, physical sabotage, jamming, and supply chain attacks pose additional risks. "
Initial Access: T1078 Valid Accounts," We assess with high confidence that Russian and Chinese espionage actors consistently pose a high-frequency, high-impact threat to U.S. entities. Future targets are likely to include entities connected to the upcoming U.S. election and entities involved in defense, diplomacy, and/or policymaking. Iran and North Korea also pose a potentially destructive threat based on current geopolitical tensions and past activity. Information operations that support Russian or Iranian interests pose a high-frequency, moderate-impact threat. We have also observed campaigns targeting the U.S. that do not appear to support state interests and at least one campaign that may have been orchestrated by a marketing firm in support of a third party that appeared to support state interests. We assess with high confidence that the U.S. will remain a high-frequency target of both targeted and opportunistic financially motivated cyber activity for the foreseeable future. Operations range from low to high impact. We assess with moderate confidence that the perceived lucrative nature of high-impact operations, such as targeted ransomware infections, may cause additional actors to adopt these tactics. We assess with moderate confidence that hacktivist groups will continue choosing U.S. targets for demonstrative cyber activity; however, most activity will not constitute a threat to security-conscious and well-resourced entities. We assess with moderate confidence that an increasing number of countries will demonstrate offensive cyber capabilities in the coming years. Based on the prominence of the cyber domain in modern economic and political competition and the growing presence of private companies offering offensive capabilities for sale, the number of U.S. cyber adversaries is liable to increase and diversify. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that financially motivated cyber threat activity is very common and has a serious impact on individuals and organizations living or operating in Latin America and the Caribbean. We have observed a wide variety of cyber crime activity in the region, ranging from detections of widely distributed malware families to targeted ransomware deployment. During the past several years we have noted Brazilian cyber crime actors expanding the geographic scope of their targeting to include the Americas and Europe. We also observed evidence of increased collaboration between the Brazilian cyber crime community and those of other Latin American countries, including Mexico and Peru. Both trends could increase the threat posed by regional actors as they gain access to additional resources and expertise. We assess with moderate confidence that cyber espionage currently presents a low-frequency, moderate-impact threat to entities in Latin America. Foreign policy shifts may lead to increased cyber espionage campaigns. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence identified evidence of more supply chain compromise incidents in 2021 than any year previously examined, though use of this tactic remains uncommon. Mandiant identified state-sponsored incidents likely intended to support strategic intelligence collection missions. We attribute most observed incidents to China. We noted an increase in financially motivated supply chain compromises, including incidents potentially leading to ransomware. For the first time in 2021, we identified more supply chain compromises involving developer tools or software dependencies than traditional software supply chain compromises, which typically target a final product. Following several impactful incidents and disclosures, government and technology organizations have taken steps and issued recommendations that we anticipate will increase the difficulty of software supply chain compromises in the medium to long term. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that Chinese cyber espionage activity presents a high-frequency and intensity threat to a variety of transportation entities globally. Cyber espionage activity from other actors represents a moderate-frequency and intensity threat to the vertical. We believe that disruptive attacks, such as cyber physical manipulation and GPS spoofing and jamming, represent low-frequency but potentially catastrophic threats to the transportation industry. We assess with high confidence that cyber crime represents a high-frequency and intensity threat to the transportation sector. Threats include network compromise, ransomware, widely distributed malware, and airline ticket and reward program fraud. We judge that hacktivists remain a low-intensity and frequency threat to the transportation industry generally, although airports are attractive targets to hacktivists due to the significant publicity associated with attacks against them. "
Initial Access: T1195 Supply Chain Compromise," Cyber crime is responsible for most attacks directed against hospitality companies. Cyber criminals use several methods to capitalize on a successful attack, theft of payment and sensitive data, and extortive attacks. The cyber espionage threat to the hospitality industry is dependent on the company's location and its political and social environment. Nation-state actors increasingly target the sector to collect information on hotel guests of interest, gather corporate information, and conduct destructive attacks. Hacktivism poses a minor threat to organizations in the hospitality industry. Targeting of entities in the hospitality sector primarily occurs opportunistically or as part of broader campaigns against multiple targets. The adaptation of internet of things (IoT) technology broadens the concerns about new cyber security risks. "
Initial Access: T1190 Exploit Public-Facing Application," Financially motivated cyber threat activity poses a significant threat to the online gambling sector. Cyber criminals use several methods to capitalize on a successful attack, theft of payment, and sensitive data and extortive attacks. The cyber espionage threat to the online gambling industry is low. However, in 2017, North Korean actors conducted attacks against Central American casinos with the probable goal of extortion. Hacktivism poses a minor threat to the online gambling industry and is primarily opportunistic or comprises part of a broader campaign. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that Canada's status as a developed and technically advanced nation drives much of the threat activity affecting the nation. Mandiant assesses with high confidence that Canada faces a high-frequency, moderate-intensity threat from financially motivated cyber actors . We assess with moderate confidence that cyber espionage poses a moderate-intensity and -frequency threat to Canadian institutions. Mandiant assesses with high confidence that hacktivist activity and information operations pose a semi-regular and limited-intensity threat to Canada. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that Canada's status as a developed and technically advanced nation drives much of the threat activity affecting the nation. Mandiant assesses with high confidence that Canada faces a high-frequency, moderate-intensity threat from financially motivated cyber actors . We assess with moderate confidence that cyber espionage poses a moderate-intensity and -frequency threat to Canadian institutions. Mandiant assesses with high confidence that hacktivist activity and information operations pose a semi-regular and limited-intensity threat to Canada. "
Initial Access: T1078 Valid Accounts," The United Kingdom (UK) is a common target for espionage actors linked to a variety of countries. The types of organizations targeted are similar to other countries with a comparable level of international engagement and economic, military, and technological development. Given its position as a wealthy and technologically advanced nation, the UK is heavily affected by cyber crime campaigns, both those targeting the UK specifically and more broadly targeted campaigns affecting many other countries. The UK has been a target and source of hacktivist activity since at least 2011 and the growth and high-profile attacks by Anonymous-affiliated actors. While high-profile hacktivism attacks appear to have decreased in prevalence in recent years, the UK will likely continue to be a popular target for hacktivists with anti-UK, anti-establishment, and/or anti-Western motivations. While we have not confidently linked any espionage groups to the UK, the UK Government has publicly admitted to developing and maintaining an offensive cyber capability. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that cyber espionage poses a frequent and serious threat to the technology industry. These operations likely target technology organizations to obtain proprietary data that could be used for military or commercial advantage, or to facilitate third-party and supply chain compromises. We assess with moderate confidence that financially motivated actors pose a significant, high-frequency threat to the technology industry. Common activity types include ransomware, theft of personally identifiable information (PII) and financial data, credential compromise, and sale of access to technology companies. Mandiant Threat Intelligence assesses with moderate confidence that information operations are a nearly continuous but limited impact threat to social media organizations, primarily through credential theft, platform abuse, and reputation damage. These operations also likely pose an uncommon threat with negligible impact to other subsectors. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that Russian cyber espionage operations presented a very common and serious threat to multiple industry sectors during late 2019 and 2020. Its operations are most frequently observed targeting governments in Russia's near abroad and North Atlantic Treaty Organization (NATO) member states, particularly Poland, Ukraine, and the U.S. Increased public exposure from primarily the U.S. and UK Governments provided unusual insight into these operations. Likewise, we assess with high confidence that Russian information operations present a very common and serious threat to countries and organizations in NATO and Russia's near abroad, particularly to media organizations and governments as well as nonprofit organizations, political parties, and international organizations. Mandiant assesses with high confidence that Russian-language cyber crime will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that financially motivated cyber threat activity poses a frequent and high-impact threat to the healthcare sector due to the potential for the compromise of large volumes of highly sensitive personally identifiable information (PII), personal health information (PHI), financial data, and disruptive incidents, including ransomware infections. Mandiant Threat Intelligence assesses with moderate confidence that cyber espionage activity poses an occasional threat to the healthcare sector, with past examples having a noticeable impact through compromise of sensitive data; however, future attacks could cause significant to catastrophic effects should actors undertake destructive or high-impact disruptive attacks. Mandiant Threat Intelligence assesses with high confidence that information operations pose an occasional threat to the healthcare sector and can have a limited to noticeable impact on healthcare operations, particularly through influence of public opinion regarding efficacy and trustworthiness of healthcare providers and methods. Mandiant Threat Intelligence assesses with moderate confidence that hacktivist campaigns are an uncommon threat to most organizations in the healthcare sector and may only have a negligible or minor impact on targeted organizations. We speculate that the lack of information technology (IT) security best practices in internet-connected medical devices, Internet of Things (IoT) devices, and building management systems used by healthcare providers increases the risk profile due to the potential for significant negative consequences of a compromise. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that financially motivated cyber threat activity poses a frequent and high-impact threat to the healthcare sector due to the potential for the compromise of large volumes of highly sensitive personally identifiable information (PII), personal health information (PHI), financial data, and disruptive incidents, including ransomware infections. Mandiant Threat Intelligence assesses with moderate confidence that cyber espionage activity poses an occasional threat to the healthcare sector, with past examples having a noticeable impact through compromise of sensitive data; however, future attacks could cause significant to catastrophic effects should actors undertake destructive or high-impact disruptive attacks. Mandiant Threat Intelligence assesses with high confidence that information operations pose an occasional threat to the healthcare sector and can have a limited to noticeable impact on healthcare operations, particularly through influence of public opinion regarding efficacy and trustworthiness of healthcare providers and methods. Mandiant Threat Intelligence assesses with moderate confidence that hacktivist campaigns are an uncommon threat to most organizations in the healthcare sector and may only have a negligible or minor impact on targeted organizations. We speculate that the lack of information technology (IT) security best practices in internet-connected medical devices, Internet of Things (IoT) devices, and building management systems used by healthcare providers increases the risk profile due to the potential for significant negative consequences of a compromise. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that financially motivated cyber threat activity poses a frequent and high-impact threat to the healthcare sector due to the potential for the compromise of large volumes of highly sensitive personally identifiable information (PII), personal health information (PHI), financial data, and disruptive incidents, including ransomware infections. Mandiant Threat Intelligence assesses with moderate confidence that cyber espionage activity poses an occasional threat to the healthcare sector, with past examples having a noticeable impact through compromise of sensitive data; however, future attacks could cause significant to catastrophic effects should actors undertake destructive or high-impact disruptive attacks. Mandiant Threat Intelligence assesses with high confidence that information operations pose an occasional threat to the healthcare sector and can have a limited to noticeable impact on healthcare operations, particularly through influence of public opinion regarding efficacy and trustworthiness of healthcare providers and methods. Mandiant Threat Intelligence assesses with moderate confidence that hacktivist campaigns are an uncommon threat to most organizations in the healthcare sector and may only have a negligible or minor impact on targeted organizations. We speculate that the lack of information technology (IT) security best practices in internet-connected medical devices, Internet of Things (IoT) devices, and building management systems used by healthcare providers increases the risk profile due to the potential for significant negative consequences of a compromise. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that cyber espionage from primarily Russian state-linked threat groups will continue to present an almost continuous and serious threat to Ukraine particularly toward Ukrainian government and military entities. Mandiant has observed primarily pro-Russian information operations targeting Ukraine, often with the apparent objective of creating tension between Ukraine and its European and NATO partners and degrading Ukrainians' trust in their government and democracy. We assess with moderate confidence that these information operations are a frequent and considerable threat. We assess with moderate confidence that Ukrainian cyber crime poses a frequent, moderate magnitude threat to organizations located both in Ukraine and globally. "
Initial Access: T1190 Exploit Public-Facing Application," Executives, IT administrators, financial authorities, human resources, and customer-facing roles likely face an increased risk of compromise compared to other job roles. Unique access permissions and willingness to receive and open unsolicited emails or other messages make individuals in these roles more susceptible to targeting campaigns. "
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application," Key issues in the cyber crime threat landscape between January and March 2021 included account takeovers, network compromises, ransomware operations, and operations including the use of mobile malware. Top malware detections between January and March 2021 included AgentTesla, FORMBOOK, Qakbot, LokiBot, BEACON NanoCore, Ursnif, Dridex, Remcos, and AZORult. Throughout Q1 2021, Mandiant Threat Intelligence observed threat activity associated with FIN11, UNC1543, UNC1878, UNC2078, UNC2420, UNC2500, UNC2546, UNC2600, and UNC2053. Mandiant continues to observe threat actors deploying ransomware post-compromise. Data theft and extortion increasingly became a part of these operations during this quarter. Highly active families included AVADDON, CLOP, CONTI, DARKSIDE, DOPPELPAYMER, NETWALKER, PYSA, RAGNAROCK, and SODINOKIBI (aka REvil). "
Initial Access: T1078 Valid Accounts," Key issues in the cyber crime threat landscape between January and March 2021 included account takeovers, network compromises, ransomware operations, and operations including the use of mobile malware. Top malware detections between January and March 2021 included AgentTesla, FORMBOOK, Qakbot, LokiBot, BEACON NanoCore, Ursnif, Dridex, Remcos, and AZORult. Throughout Q1 2021, Mandiant Threat Intelligence observed threat activity associated with FIN11, UNC1543, UNC1878, UNC2078, UNC2420, UNC2500, UNC2546, UNC2600, and UNC2053. Mandiant continues to observe threat actors deploying ransomware post-compromise. Data theft and extortion increasingly became a part of these operations during this quarter. Highly active families included AVADDON, CLOP, CONTI, DARKSIDE, DOPPELPAYMER, NETWALKER, PYSA, RAGNAROCK, and SODINOKIBI (aka REvil). "
Initial Access: T1078 Valid Accounts, TEXTMATE is a PowerShell domain name system (DNS) tunnel that uses DNS TXT records as a command and control (C C) channel. FireEye iSIGHT Intelligence has observed this tool being leveraged by FIN7 as a second-stage download via POWERSOURCE. 
Initial Access: T1190 Exploit Public-Facing Application," FireEye iSIGHT intelligence uses the term ""cyber crime"" to denote abuses of computer systems conducted to generate profit. Key issues in the cyber crime threat landscape currently include account takeover operations, cryptocurrency theft and mining operations, ransomware, distributed denial-of-service (DDoS), network compromises, mobile malware, and underground marketplaces. Top malware detections between April and June 2018 included Emotet (28.1 percent of detections), Pony (23.8 percent), LokiBot (16.8 percent), Zeus (seven percent) and Chanitor (seven percent). "
Initial Access: T1190 Exploit Public-Facing Application," Key issues in the cyber crime threat landscape between October and December 2021 included account takeovers, network compromises, ransomware operations, and operations including the use of mobile malware. Top malware detections between October and December 2021 included FORMBOOK, LOKIBOT, AGENTTESLA, NANOCORE, QAKBOT, EMOTET, MOUSEISLAND, AZORULT, URSNIF, and TRICKBOT. Throughout Q4 2021, Mandiant Threat Intelligence observed threat activity associated with multiple financially motivated threat clusters, including FIN11, UNC961, UNC1543, UNC2053, UNC2190, UNC2420, UNC2500, and UNC2633. "
Initial Access: T1195 Supply Chain Compromise, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence uses the term ""cyber crime"" to denote abuses of computer systems conducted to generate profit. Key issues in the cyber crime threat landscape currently include account takeover operations, cryptocurrency theft and mining operations, ransomware, distributed denial-of-service (DDoS), network compromises, mobile malware, and underground marketplaces. Top malware detections between October and December 2018 included Emotet, LokiBot, FORMBOOK, Pony, Ursnif, and NanoCore. "
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application," Key issues in the cyber crime threat landscape between January and March 2020 included account takeover, network compromises, ransomware operations, and operations including the use of mobile malware. Top malware detections between January and March 2020 included Emotet, LokiBot, FORMBOOK, NanoCore, and Ursnif. Through Q1 of 2020, Mandiant Threat Intelligence observed targeted threat activity associated with several named, financially motivated clusters, including FIN6, FIN7, FIN11, and TEMP.MetaStrike. The coronavirus (COVID-19) pandemic has become a highly exploited topic for malicious activity since the beginning of 2020, and threat actors with varying motivations are actively exploiting the current pandemic and public fear of COVID-19. We observed multiple phishing operations that exploited coronavirus-related themes throughout Q1 2020. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with moderate confidence that Russia will conduct additional destructive or disruptive cyber attacks connected to the crisis in Ukraine. Russian cyber attacks almost certainly will focus first on Ukraine, with Western/NATO allies also being possible targets. NATO and Western sanctions and responses likely will heavily influence Russia's perception of high-priority targets for retaliation, and Russian action may be focused against the financial industry, oil and gas sector, and media and entertainment. Organizations making statements condemning Russian aggression and/or supporting Ukraine and organizations taking actions to restrict Russian participation in international commerce, competitions, and events face elevated risk of future reprisal. We assess that Sandworm and UNC2589 are two of the most likely actors to conduct cyber attacks in retaliation, although we judge that all high-profile Russian threat actors will continue or increase cyber espionage to enhance decision advantage against Ukrainian and NATO government targets. "
Initial Access: T1078 Valid Accounts," UNC2589 is a cluster of cyber espionage activity active since at least early 2021 that has primarily targeted Ukraine, Georgia, and diplomatic and defense entities in Europe and North America. UNC2589 uses a handful of nonpublic and commercially available malware in its spear-phishing campaigns, and its command and control (C C) infrastructure shares commonalities. Mandiant has identified an additional UNC2589 destructive campaign leveraging the PAYWIPE and SHADYLOOK wiper malware as well as a suspected UNC2589 credential-stealing campaign using MARSSTEALER against Ukrainian government targets. This activity poses a threat to government, diplomatic, defense, pharmaceutical, and healthcare verticals globally, though particularly those in Ukraine and Georgia as well as North Atlantic Treaty Organization (NATO) and European Union (EU) member states. "
Initial Access: T1078 Valid Accounts," Further analysis of a recent UNC2589 campaign targeting Ukraine with SPRINGBEE malware has revealed new insights into UNC2589, including indications that UNC2589 is comprised of Russian-speaking actors. We additionally uncovered several historical UNC2589 phishing operations targeting U.S. and European Union (EU) government entities. This activity poses a threat to government and military entities and non-governmental (NGOs) worldwide, particularly those operating in or affiliated with Ukraine, Western Europe, and North America. Please see the Technical Annex for relevant YARA rules and MITRE ATT CK techniques (T1027, T1027.005, T1055, T1059.005, T1070.006, T1071.001, T1090.004, T1140, T1189, T1547.009, T1560.002, T1566.001, T1584, T1620). "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that Russian state-sponsored cyber espionage continues to present a very common and serious threat to many industries, but particularly to governments worldwide. Russian cyber espionage operations overwhelmingly targeted the United States. We assess with high confidence that Russian-speaking cyber criminals will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. A growing number of extremely high-profile ransomware infections has begun to garner an increasing focus from national and international law enforcement organizations, as the disruption from these infections continues to rise. Pro-Russian information operations continue to target primarily NATO states, with a particular focus on nations in Russia's Near Abroad and the United States. These campaigns pose a moderate intensity and magnitude threat to targeted societies and governments. We observed few instances of genuine hacktivism based in Russia. "
Initial Access: T1190 Exploit Public-Facing Application," Mandiant Threat Intelligence assesses with high confidence that the Russian Federation directs a series of sophisticated, long-standing cyber espionage programs that conduct threat activity and information operations globally against targets of interest to the Russian state. We have lower confidence in our attribution of some named groups to specific Russian security services due to Mandiant's lack of technical evidence associating many of these actor sets to their respective organizations. However, we draw on a wide body of open-source reporting on the mission mandates of Russian intelligence services and government attributions of specific actors to link threat groups we track to their likely sponsors. Attribution is a critical component of cyber threat intelligence because it provides insight into actor intent and helps analysts characterize current activity, anticipate future threats, and provide risk assessments to inform defensive strategies and resource allocation. We assess with high confidence that Russian-sponsored cyber threat groups represent an acute threat to governments, media and civil society organizations, and industrial control systems (ICS) in Eastern and Western Europe and North America. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence identified fewer incidents in 2019 and 2020 than the previous peak of 2018, as of the time of writing; however, we suggest that the long-term trend continues to indicate growth. Espionage-motivated incidents eclipsed financially motivated supply chain compromises in 2020. Cases involving open-source software dependencies and developer tools represented nearly 40 percent of identified 2019 and 2020 supply chain compromises. Supply chain compromises targeting mobile apps and devices constituted 26 percent of cases identified in 2019 and 2020, up from 8 percent from 2013 2018. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that cyber espionage poses a high-frequency threat to Southeast Asian entities and has a moderate to serious impact on affected organizations. Chinese groups are the most prolific in the region. We assess with high confidence that financially motivated cyber crime presents a high-frequency and moderate-intensity threat to Southeast Asia. Given the region's prominence and integration with major economies worldwide, we anticipate this level of activity will continue for at least the near to mid-term. Hacktivist activity has historically presented a low-frequency and -intensity threat to the region. However, we observed an uptick in hacktivist activity related to the February 2021 military coup in Myanmar that currently represents a moderate-intensity and -frequency threat to Myanmar and entities with business interests therein. We expect this activity will continue for at least the short term. We assess with moderate confidence that information operations currently represent a low-intensity and -frequency threat to the region. "
Initial Access: T1195 Supply Chain Compromise,No report found.
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence suggests that the expedient implementation of emergency preparedness measures generates compounding benefits for organizations beyond the immediate goal of improving defenses against an imminent threat. In early 2020, Iranian general Qasem Soleimani's death in a U.S. airstrike led Mandiant to advise organizations to prepare for potential retaliatory Iranian cyber threat activity. Specifically, we suggested prioritizing detection of the initial stages of intrusions and implementing mitigations against commonly observed tactics, techniques, and procedures (TTPs) Iranian espionage actors employ. Although we have not observed a dramatic increase in the frequency of Iranian operations or significant destructive operations targeting the U.S. or its allies as of July 2021, we suggest that organizations that implemented recommended countermeasures are not only better prepared to defend against potential Iranian activity, but they are also better prepared to counter threat activity from numerous additional threat actors who employ the same or similar TTPs. We expect that these TTPs will remain popular among diverse threat actors for at least the near to mid-term due to their proven effectiveness. "
Initial Access: T1195 Supply Chain Compromise," Threat activity toward the government sector is primarily driven by the sensitive information contained at these agencies that can prove valuable for both state-sponsored and financially motivated threat actors. In 2020, this has included coronavirus treatment and response data. Mandiant Threat Intelligence assesses with high confidence that state-sponsored threat actors frequently pose a severe threat to governments. We observed Russian, Chinese, Iranian, North Korean, Vietnamese, and Indian cyber espionage actors compromise governments. We assess with high confidence that cyber criminals regularly pose a moderate to severe threat to governments. In addition to FIN11, we have detected several UNC groups target national and regional government organizations with ransomware. We detected multiple information operations targeting governments, likely as a means to various geopolitical ends, including to undermine leaders, institutions, and adversaries, promote certain candidates for positions of power, delegitimize elections, or foment divisions amongst a populace. We assess with moderate confidence this threat activity poses a moderately frequent, severe threat to government organizations. Mandiant assesses with moderate confidence that hacktivist groups regularly pose a low-impact risk to the government sector. We observed hacktivists conduct web defacements of government targets likely to protest policies or promote political ideologies. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with moderate confidence that state-sponsored activity typically represents a common, moderate-magnitude threat to the Gulf Cooperation Council (GCC), with some incidents causing more serious impacts such as disruptive attacks. We observed Iranian activity most frequently, though we also documented operations from suspected Palestinian, Chinese, Russian, and United Arab Emirates (UAE) actors affecting GCC public and private targets. We assess with moderate confidence that GCC organizations face a regular-frequency, moderate- to serious-intensity threat from financially motivated cyber threat activity. We observed a number of initial access clusters active in the region as well as evidence of ransomware affecting a broad range of industries. Mandiant assesses with moderate confidence that information operations pose a continuous but typically limited intensity threat to the GCC. We most frequently observe activity that appears to be supportive of Iranian interests, though we have also observed additional activity, for instance, a campaign likely supporting UAE interests. We believe that hacktivism presents a semi-regular but ultimately limited impact threat to GCC entities, though significant events may trigger increased activity. We also note that low-sophistication targeting of operational technology (OT) systems could affect GCC countries in the future as we see this type of activity increasing both globally and in Iran and Israel. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with moderate confidence that state-sponsored activity poses a regular-frequency, moderate-intensity threat to the United Kingdom. The geopolitical and economic significance of the nation makes it an attractive target for state-sponsored threats seeking strategic intelligence to support their military, pollical, and economic objectives. We judge that information operations continue to pose a moderate-frequency, moderate-severity threat to the UK, and we have detected inauthentic coordinated social media networks supporting various state interests, including those of Russia and Iran. Mandiant assesses with moderate confidence that financially motivated threat activity poses a high-frequency, serious-intensity threat to the UK, and we continue to observe threat actors leverage ransomware and phishing sites as part of their campaigns. Hacktivists pose a rare, low-severity threat to the UK; however, notable events can potentially motivate these threats to conduct distributed denial-of-service (DDoS) attacks and data leaks, if provoked. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence reviewed dozens of incidents that involved manipulation of cloud resources. This report is part 2 of a 4-part series, and it focuses on tactics, techniques, and procedures (TTPs) for performing internal reconnaissance, escalating privileges, moving laterally, and maintaining presence on Azure AD and Microsoft 365 systems. Specifically, we highlight several effective, low-touch tactics we observed UNC2452 use to achieve and expand access to these resources, including Golden SAML, modifying trusted domains, and hijacking Azure AD applications. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence reviewed dozens of incidents that involved manipulation of cloud resources. This report is part one of a four-part series, focusing on commonly observed tactics, techniques, and procedures (TTPs) for initial compromise and establishing a foothold in enterprise cloud environments. In addition to tactics relying on social engineering, such as phishing and illicit consent grant, we observed significant use of initial infection vectors that did not require user interaction, including exploitation of a vulnerability or misconfiguration, brute-force tactics, and software supply chain compromise. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that Canada's status as a developed and technically advanced nation drives much of the threat activity affecting the nation. Mandiant assesses with high confidence that Canada faces a high-frequency, moderate-intensity threat from financially motivated cyber actors . We assess with moderate confidence that cyber espionage poses a moderate-intensity and -frequency threat to Canadian institutions. Mandiant assesses with high confidence that hacktivist activity and information operations pose a semi-regular and limited-intensity threat to Canada. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that Canada's status as a developed and technically advanced nation drives much of the threat activity affecting the nation. Mandiant assesses with high confidence that Canada faces a high-frequency, moderate-intensity threat from financially motivated cyber actors . We assess with moderate confidence that cyber espionage poses a moderate-intensity and -frequency threat to Canadian institutions. Mandiant assesses with high confidence that hacktivist activity and information operations pose a semi-regular and limited-intensity threat to Canada. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that cyber espionage poses a frequent and serious threat to the technology industry. These operations likely target technology organizations to obtain proprietary data that could be used for military or commercial advantage, or to facilitate third-party and supply chain compromises. We assess with moderate confidence that financially motivated actors pose a significant, high-frequency threat to the technology industry. Common activity types include ransomware, theft of personally identifiable information (PII) and financial data, credential compromise, and sale of access to technology companies. Mandiant Threat Intelligence assesses with moderate confidence that information operations are a nearly continuous but limited impact threat to social media organizations, primarily through credential theft, platform abuse, and reputation damage. These operations also likely pose an uncommon threat with negligible impact to other subsectors. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that Russian state-sponsored cyber espionage continues to present a very common and serious threat to many industries, but particularly to governments worldwide. Russian cyber espionage operations overwhelmingly targeted the United States. We assess with high confidence that Russian-speaking cyber criminals will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. A growing number of extremely high-profile ransomware infections has begun to garner an increasing focus from national and international law enforcement organizations, as the disruption from these infections continues to rise. Pro-Russian information operations continue to target primarily NATO states, with a particular focus on nations in Russia's Near Abroad and the United States. These campaigns pose a moderate intensity and magnitude threat to targeted societies and governments. We observed few instances of genuine hacktivism based in Russia. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that exchanges and investment services face a constant, high-intensity threat from financially motivated cyber threat activity. Mandiant assesses with high confidence that state-sponsored activity represents a moderate-frequency, serious-intensity threat to investment services and exchanges. From February 2020 to September 2021, North Korean operators demonstrated the most focused interest on investment services and exchanges and were observed more frequently than other actors. We also noted Chinese, Iranian, and Russian activity. We assess with moderate confidence that hacktivism occasionally affects investment services organizations and exchanges with limited impact. Mandiant Threat Intelligence speculates that influence campaigns and coordinated inauthentic social media activity targeting investment services or exchanges could be used to create economic disruptions in target countries. "
